시도,시군구,폐기물 종류_대,폐기물 종류_중,폐기물 종류_소,2019년 발생량,총계_재활용,총계_소각,총계_매립,총계_기타,공공처리_재활용,공공처리_소각,공공처리_매립,공공처리_기타,자가처리_재활용,자가처리_소각,자가처리_매립,자가처리_기타,위탁처리_재활용,위탁처리_소각,위탁처리_매립,위탁처리_기타,YEAR
서울,소계,재활용 _가능자원_ 분리배출,금속캔,EMPTY,114.1,114.1,0,0,0,8,0,0,0,0,0,0,0,106.1,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,폐합성수지류,비닐류,408.4,408.4,0,0,0,72.4,0,0,0,0,0,0,0,336,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,폐합성수지류,발포수지류,50.9,50.9,0,0,0,16.8,0,0,0,0,0,0,0,34.1,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,폐합성수지류,PET병,121.8,121.8,0,0,0,22.4,0,0,0,0,0,0,0,99.4,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,폐합성수지류,기타,143,143,0,0,0,20.3,0,0,0,0,0,0,0,122.7,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,폐고무류,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,폐유리병류,EMPTY,199.8,199.8,0,0,0,33.9,0,0,0,0,0,0,0,165.9,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,폐의류,EMPTY,33.7,33.7,0,0,0,2.6,0,0,0,0,0,0,0,31.1,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,폐섬유류,EMPTY,17.5,17.5,0,0,0,3.7,0,0,0,0,0,0,0,13.8,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,폐형광등,EMPTY,11.2,11.2,0,0,0,0.4,0,0,0,0,0,0,0,10.8,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,폐전지류,EMPTY,1.1,1.1,0,0,0,0.1,0,0,0,0,0,0,0,1,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,영농폐기물,농약용기류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,영농폐기물,폐비닐,23.3,23.3,0,0,0,0,0,0,0,0,0,0,0,23.3,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,폐식용유,EMPTY,30.7,30.7,0,0,0,2,0,0,0,0,0,0,0,28.7,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,폐전기전자제품,EMPTY,20,20,0,0,0,2.3,0,0,0,0,0,0,0,17.7,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,폐가구류,EMPTY,71.1,71.1,0,0,0,10.7,0,0,0,0,0,0,0,60.4,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,기타,EMPTY,22.6,22.6,0,0,0,2.2,0,0,0,0,0,0,0,20.4,0,0,0,2019
서울,소계,재활용 _가능자원_ 분리배출,재활용 잔재물,EMPTY,554.3,486.1,58.9,9.3,0,107.2,5.3,0,0,0,0,0,0,378.9,53.6,9.3,0,2019
서울,소계,음식물류 폐기물 분리배출,EMPTY,EMPTY,2578.3,2578.1,0,0,0.2,705.5,0,0,0,4.6,0,0,0.2,1868,0,0,0,2019
서울,종로구,합계,EMPTY,EMPTY,320.1,200.7,79.1,40.3,0,54.8,79.1,40.3,0,0.4,0,0,0,145.5,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,소계,EMPTY,119.4,0,79.1,40.3,0,0,79.1,40.3,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,가연성,소계,111.6,0,73.9,37.7,0,0,73.9,37.7,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,가연성,폐지류,37.8,0,25,12.8,0,0,25,12.8,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,가연성,폐합성수지류,22.2,0,14.7,7.5,0,0,14.7,7.5,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,가연성,폐고무류,0.7,0,0.5,0.2,0,0,0.5,0.2,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,가연성,폐섬유류,2.1,0,1.4,0.7,0,0,1.4,0.7,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,가연성,음식물류 폐기물,2.9,0,1.9,1,0,0,1.9,1,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,가연성,폐목재류,1.3,0,0.9,0.4,0,0,0.9,0.4,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,가연성,기타,44.6,0,29.5,15.1,0,0,29.5,15.1,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,불연성,소계,7.8,0,5.2,2.6,0,0,5.2,2.6,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,불연성,폐금속류,1.2,0,0.8,0.4,0,0,0.8,0.4,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,불연성,폐유리류,2.4,0,1.6,0.8,0,0,1.6,0.8,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,불연성,폐토사류,0.4,0,0.3,0.1,0,0,0.3,0.1,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,0.6,0,0.4,0.2,0,0,0.4,0.2,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,불연성,연탄재,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,불연성,기타,3.2,0,2.1,1.1,0,0,2.1,1.1,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,건설폐재류,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,종로구,종량제방식 등 혼합배출,기타(배출불명등,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,소계,EMPTY,107.5,107.5,0,0,0,19.3,0,0,0,0,0,0,0,88.2,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,폐지류,종이팩,1.7,1.7,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,폐지류,기타,5.1,5.1,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,고철류,EMPTY,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,금속캔,EMPTY,3.8,3.8,0,0,0,1.1,0,0,0,0,0,0,0,2.7,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,폐합성수지류,비닐류,4.6,4.6,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,폐합성수지류,발포수지류,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,폐합성수지류,PET병,6.4,6.4,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,폐합성수지류,기타,4.6,4.6,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,폐고무류,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,폐유리병류,EMPTY,8.7,8.7,0,0,0,2.1,0,0,0,0,0,0,0,6.6,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,폐의류,EMPTY,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,폐섬유류,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,폐형광등,EMPTY,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,폐전지류,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,영농폐기물,농약용기류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,영농폐기물,폐비닐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,폐식용유,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,폐전기전자제품,EMPTY,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,폐가구류,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,기타,EMPTY,10.1,10.1,0,0,0,0.2,0,0,0,0,0,0,0,9.9,0,0,0,2019
서울,종로구,재활용 _가능자원_ 분리배출,재활용 잔재물,EMPTY,60.1,60.1,0,0,0,14.2,0,0,0,0,0,0,0,45.9,0,0,0,2019
서울,종로구,음식물류 폐기물 분리배출,EMPTY,EMPTY,93.2,93.2,0,0,0,35.5,0,0,0,0.4,0,0,0,57.3,0,0,0,2019
서울,중구,합계,EMPTY,EMPTY,340.9,170.7,114.7,55.5,0,0,114.7,55.5,0,0,0,0,0,170.7,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,소계,EMPTY,170.2,0,114.7,55.5,0,0,114.7,55.5,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,가연성,소계,170.2,0,114.7,55.5,0,0,114.7,55.5,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,가연성,폐지류,34.8,0,19.3,15.5,0,0,19.3,15.5,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,가연성,폐합성수지류,25.1,0,19.3,5.8,0,0,19.3,5.8,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,가연성,폐고무류,18.7,0,11.6,7.1,0,0,11.6,7.1,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,가연성,폐섬유류,8.2,0,8.2,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,가연성,음식물류 폐기물,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,가연성,폐목재류,23.6,0,16.7,6.9,0,0,16.7,6.9,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,가연성,기타,59.8,0,39.6,20.2,0,0,39.6,20.2,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,불연성,소계,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,불연성,폐금속류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,불연성,폐유리류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,불연성,폐토사류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,불연성,연탄재,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,불연성,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,건설폐재류,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,종량제방식 등 혼합배출,기타(배출불명등,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,소계,EMPTY,110.5,110.5,0,0,0,0,0,0,0,0,0,0,0,110.5,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,폐지류,종이팩,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,폐지류,기타,48.9,48.9,0,0,0,0,0,0,0,0,0,0,0,48.9,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,고철류,EMPTY,17.2,17.2,0,0,0,0,0,0,0,0,0,0,0,17.2,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,금속캔,EMPTY,2.8,2.8,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,폐합성수지류,비닐류,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,폐합성수지류,발포수지류,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,폐합성수지류,PET병,1.9,1.9,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,폐합성수지류,기타,1.3,1.3,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,폐고무류,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,폐유리병류,EMPTY,9.6,9.6,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,폐의류,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,폐섬유류,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,폐형광등,EMPTY,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,폐전지류,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,영농폐기물,농약용기류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,영농폐기물,폐비닐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,폐식용유,EMPTY,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,폐전기전자제품,EMPTY,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,폐가구류,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,기타,EMPTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
서울,중구,재활용 _가능자원_ 분리배출,재활용 잔재물,EMPTY,22,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2019
서울,중구,음식물류 폐기물 분리배출,EMPTY,EMPTY,60.2,60.2,0,0,0,0,0,0,0,0,0,0,0,60.2,0,0,0,2019
서울,용산구,합계,EMPTY,EMPTY,285,178.9,68.8,31.3,6,23.6,59.7,29.9,0,0,0,0,0,155.3,9.1,1.4,6,2019
서울,용산구,종량제방식 등 혼합배출,소계,EMPTY,106.9,0.9,68.7,31.3,6,0,59.7,29.9,0,0,0,0,0,0.9,9,1.4,6,2019
서울,용산구,종량제방식 등 혼합배출,가연성,소계,103.2,0,68.7,28.5,6,0,59.7,28.5,0,0,0,0,0,0,9,0,6,2019
