발생년도,시도,시군구,폐기물 대분류,폐기물 중분류,폐기물 소분류,전체발생량,총계_재활용,총계_소각,총계_매립,총계_기타
2014,강원,강릉시,,,,323.2,233,0,90.2,0
2014,강원,동해시,,,,118.1,42.3,3.8,72,0
2014,강원,태백시,,,,50.6,29.6,12.9,8.1,0
2014,강원,속초시,,,,164.5,81,58.1,25.4,0
2014,강원,삼척시,,,,98.7,37.6,0,61.1,0
2014,강원,홍천군,,,,42.7,4.6,35.1,3,0
2014,강원,횡성군,,,,30.7,12.2,12.5,6,0
2014,강원,영월군,,,,33.4,18.1,13,2.3,0
2014,강원,평창군,,,,39.6,27,10.4,2.2,0
2014,강원,정선군,,,,41.1,16.5,4.6,20,0
2014,강원,철원군,,,,59.9,14,16.6,29.3,0
2014,강원,화천군,,,,48.2,12.4,13.5,22.3,0
2014,강원,양구군,,,,35.3,13.5,10.3,11.5,0
2014,강원,인제군,,,,48.2,17.5,8.3,22.4,0
2014,강원,고성군,,,,30.2,2.2,21,7,0
2014,강원,양양군,,,,34.1,7.3,23.9,2.9,0
2014,충북,청주시,,,,1039,708.8,261,69.2,0
2014,충북,충주시,,,,265.8,148.9,70.4,46.5,0
2014,충북,제천시,,,,120.5,31.6,28.2,60.7,0
2014,충북,보은군,,,,28.8,9,6.8,13,0
2014,충북,옥천군,,,,42,13.4,20.3,8.3,0
2014,충북,영동군,,,,45.3,18.4,24.4,2.5,0
2014,충북,증평군,,,,30.7,11.9,6.2,12.6,0
2014,충북,진천군,,,,41.8,28,12.6,1.2,0
2014,충북,괴산군,,,,25.4,13.8,2.3,9.3,0
2014,충북,음성군,,,,83.1,33.6,40.1,9.4,0
2014,충북,단양군,,,,33.2,11.8,14.1,7.3,0
2014,충남,천안시,,,,743.1,409.9,202.2,131,0
2014,충남,공주시,,,,107.4,58.1,47.6,1.7,0
2014,충남,보령시,,,,102.5,53.5,48.3,0.7,0
2014,충남,아산시,,,,248,146.1,100.8,1.1,0
2014,충남,서산시,,,,160,85,4.5,70.5,0
2014,충남,논산시,,,,151.9,70.9,41,40,0
2014,충남,계룡시,,,,46.9,21.5,24.4,1,0
2014,충남,당진시,,,,137.6,36.1,101.5,0,0
2014,충남,금산군,,,,37.3,10.5,0,26.8,0
2014,충남,부여군,,,,59.5,36.9,0,22.6,0
2014,충남,서천군,,,,37.4,14.4,3.7,19.3,0
2014,충남,청양군,,,,24.4,7.7,13.1,3.6,0
2014,충남,홍성군,,,,63,31.2,30,1.8,0
2014,충남,예산군,,,,46,15,29.7,1.3,0
2014,충남,태안군,,,,57.7,23.4,34,0.3,0
2014,전북,전주시,,,,684,462,177,45,0
2014,전북,군산시,,,,279.6,80,0,199.6,0
2014,전북,익산시,,,,206.3,140.1,66.2,0,0
2014,전북,정읍시,,,,79.9,32.2,35.4,12.3,0
2014,전북,남원시,,,,64.8,21.4,0,43.4,0
2014,전북,김제시,,,,65.6,41.9,18.3,5.4,0
2014,전북,완주군,,,,36.5,21.4,14.1,1,0
2014,전북,진안군,,,,20.8,5.5,0,15.3,0
2014,전북,무주군,,,,18.7,14.3,0,4.4,0
2014,전북,장수군,,,,25,7.7,0,17.3,0
2014,전북,임실군,,,,14.3,4.8,0,9.5,0
2014,전북,순창군,,,,13,4.8,0,8.2,0
2014,전북,고창군,,,,53.9,40.8,0,13.1,0
2014,전북,부안군,,,,54.6,33.4,0,21.2,0
2014,전남,목포시,,,,212.9,67.8,0,145.1,0
2014,전남,여수시,,,,328.2,72.2,75,181,0
2014,전남,순천시,,,,211.1,107,0,104.1,0
2014,전남,나주시,,,,54.3,31.9,1.6,20.8,0
2014,전남,광양시,,,,168,67.4,0,100.6,0
2014,전남,담양군,,,,31.3,5.5,20,5.8,0
2014,전남,곡성군,,,,22.3,14.7,0,7.6,0
2014,전남,구례군,,,,15.5,12.2,3.3,0,0
2014,전남,고흥군,,,,57.2,20.6,11.2,25.4,0
2014,전남,보성군,,,,34.5,17.7,15,1.8,0
2014,전남,화순군,,,,43,27.2,1.6,14.2,0
2014,전남,장흥군,,,,30.4,12.3,7.8,10.3,0
2014,전남,강진군,,,,28,13.7,7.6,6.7,0
2014,전남,해남군,,,,56.6,37.8,7.4,11.4,0
2014,전남,영암군,,,,113,87.2,25.8,0,0
2014,전남,무안군,,,,63.9,26.7,31.5,5.7,0
2014,전남,함평군,,,,15.3,1.6,9.2,4.5,0
2014,전남,영광군,,,,38.2,5.4,24,8.8,0
2014,전남,장성군,,,,21.8,2.3,14,5.5,0
2014,전남,완도군,,,,49.7,10.4,31,8.3,0
2014,전남,진도군,,,,43.4,20.6,19.7,3.1,0
2014,전남,신안군,,,,40.2,15.4,21.9,2.9,0
2014,경북,포항시,,,,523.1,278.2,0,244.9,0
2014,경북,경주시,,,,245.9,137.2,92.6,16.1,0
2014,경북,김천시,,,,77.8,26.1,43.4,8.3,0
2014,경북,안동시,,,,197.2,174.8,0,22.4,0
2014,경북,구미시,,,,308.6,114.8,187.7,6.1,0
2014,경북,영주시,,,,175.7,81.6,0,94.1,0
2014,경북,영천시,,,,61.6,19,41.6,1,0
2014,경북,상주시,,,,65.8,20.6,41,4.2,0
2014,경북,문경시,,,,103.1,31.2,43.1,28.8,0
2014,경북,경산시,,,,166.2,75.7,27,63.5,0
2014,경북,군위군,,,,13.6,2.7,3.2,7.7,0
2014,경북,의성군,,,,40.2,11.6,10.1,18.5,0
2014,경북,청송군,,,,22.2,4.8,14.5,2.9,0
2014,경북,영양군,,,,13.3,2.9,1.1,9.3,0
2014,경북,영덕군,,,,44.6,6.9,26.6,11.1,0
2014,경북,청도군,,,,19.9,11.6,5.3,3,0
2014,경북,고령군,,,,20.1,5.2,10.7,4.2,0
2014,경북,성주군,,,,26.7,6.6,15.2,4.9,0
2014,경북,칠곡군,,,,99.1,13.8,81.7,3.6,0
2014,경북,예천군,,,,31.4,7.8,17.5,6.1,0
2014,경북,봉화군,,,,50.6,17.6,1.2,31.8,0
2014,경북,울진군,,,,46.4,26,13.7,6.7,0
2014,경북,울릉군,,,,12,0.6,4.3,7.1,0
2014,경남,창원시,,,,961.2,487.4,363,110.8,0
2014,경남,진주시,,,,347.8,195.1,0,152.7,0
2014,경남,통영시,,,,157.8,48.7,36.8,72.3,0
2014,경남,사천시,,,,144.8,55.8,37.7,51.3,0
2014,경남,김해시,,,,433,255.7,155.6,21.7,0
2014,경남,밀양시,,,,81.7,33.3,39.1,9.3,0
2014,경남,거제시,,,,209.8,109.5,97.4,2.9,0
2014,경남,양산시,,,,240.9,136.5,74.1,30.3,0
2014,경남,의령군,,,,30.7,15.3,8.5,6.9,0
2014,경남,함안군,,,,62.1,26.6,34.6,0.9,0
2014,경남,창녕군,,,,50.4,31.5,14.7,4.2,0
2014,경남,고성군,,,,35.7,16.7,15.6,3.4,0
2014,경남,남해군,,,,29.5,19.6,0,9.9,0
2014,경남,하동군,,,,40.9,12.5,10.8,17.6,0
2014,경남,산청군,,,,28.2,9,8.3,10.9,0
2014,경남,함양군,,,,34.8,8.5,15.1,11.2,0
2014,경남,거창군,,,,66.4,27.3,29.6,9.5,0
2014,경남,합천군,,,,36.2,14.9,11.1,10.2,0
2014,제주,제주시,,,,501.1,322,117.5,61.6,0
2014,제주,서귀포시,,,,277.2,165.3,46.9,65,0
2015,전국,합계,,,,43411.2,25383.1,12074.9,5953.2,0
2015,서울,종로구,,,,284.3,181,72.5,30.8,0
2015,서울,중구,,,,434.3,283.2,130.7,20.4,0
2015,서울,용산구,,,,240.1,158.8,72.1,9.2,0
2015,서울,성동구,,,,235.7,157.7,54.3,23.7,0
2015,서울,광진구,,,,300.2,216.4,56.2,27.6,0
2015,서울,동대문구,,,,381.7,270.8,89.8,21.1,0
2015,서울,중랑구,,,,363,260.6,87.9,14.5,0
2015,서울,성북구,,,,339,230.5,90.6,17.9,0
2015,서울,강북구,,,,228.3,150.8,66,11.5,0
2015,서울,도봉구,,,,289.2,223.3,57.4,8.5,0
2015,서울,노원구,,,,453.9,343.8,103.1,7,0
2015,서울,은평구,,,,219.7,152.7,40.8,26.2,0
2015,서울,서대문구,,,,282.9,190.9,81.6,10.4,0
2015,서울,마포구,,,,452,325.7,114,12.3,0
2015,서울,양천구,,,,297.4,206.7,77.7,13,0
2015,서울,강서구,,,,365,243.6,102.1,19.3,0
2015,서울,구로구,,,,290.1,157.8,109.2,23.1,0
2015,서울,금천구,,,,232.9,165,0,67.9,0
2015,서울,영등포구,,,,339.5,216.2,99.3,24,0
2015,서울,동작구,,,,278.7,198.4,61.8,18.5,0
2015,서울,관악구,,,,320.9,195.4,29.4,96.1,0
2015,서울,서초구,,,,486.2,351.3,90.5,44.4,0
2015,서울,강남구,,,,657.2,438.8,176,42.4,0
2015,서울,송파구,,,,521.1,379.2,85.2,56.7,0
2015,서울,강동구,,,,364.1,267.1,60.2,36.8,0
2015,부산,중구,,,,77.1,28.9,42,6.2,0
2015,부산,서구,,,,103.7,74.4,26.3,3,0
2015,부산,동구,,,,95.1,66.9,23.5,4.7,0
2015,부산,영도구,,,,120.7,91.9,25.4,3.4,0
2015,부산,부산진구,,,,275.6,259.9,2.1,13.6,0
2015,부산,동래구,,,,228.8,201.8,0.1,26.9,0
2015,부산,남구,,,,234.7,205.4,4,25.3,0
2015,부산,북구,,,,236.9,205.9,4.9,26.1,0
2015,부산,해운대구,,,,320.7,238.1,75.2,7.4,0
2015,부산,사하구,,,,312.8,205.3,101.4,6.1,0
2015,부산,금정구,,,,205.3,183,0.1,22.2,0
2015,부산,강서구,,,,59.5,37.5,17.5,4.5,0
2015,부산,연제구,,,,163.3,144.9,0.4,18,0
2015,부산,수영구,,,,145.6,131.2,0,14.4,0
2015,부산,사상구,,,,202,175.7,9.8,16.5,0
2015,부산,기장군,,,,94,46.2,44.4,3.4,0
2015,대구,중구,,,,138,74.3,8.3,55.4,0
2015,대구,동구,,,,301.6,140.3,65.6,95.7,0
2015,대구,서구,,,,221.3,124,28.4,68.9,0
2015,대구,남구,,,,175.7,83.7,41,51,0
2015,대구,북구,,,,399.2,222.8,44.3,132.1,0
2015,대구,수성구,,,,369,211.5,46.2,111.3,0
2015,대구,달서구,,,,522.7,312.6,89.6,120.5,0
2015,대구,달성군,,,,170.4,92.6,23.1,54.7,0
2015,인천,중구,,,,98.3,37.7,41.7,18.9,0
2015,인천,동구,,,,45.5,25.4,11.2,8.9,0
2015,인천,미추홀구,,,,228.4,119.3,92.4,16.7,0
2015,인천,연수구,,,,123.6,69.2,48.9,5.5,0
2015,인천,남동구,,,,290.3,169.2,103.1,18,0
2015,인천,부평구,,,,277.4,130.9,108.3,38.2,0
2015,인천,계양구,,,,178.1,100.5,59,18.6,0
2015,인천,서구,,,,176.1,65.4,71.7,39,0
2015,인천,강화군,,,,30.6,14.7,0.7,15.2,0
2015,인천,옹진군,,,,15.5,8.7,6.2,0.6,0
2015,인천,청라경제청,,,,138.7,62.3,76.4,0,0
2015,광주,동구,,,,112.5,63.4,5.2,43.9,0
2015,광주,서구,,,,240.3,141.2,78.1,21,0
2015,광주,남구,,,,180.5,120.1,6,54.4,0
2015,광주,북구,,,,299.1,175.1,84.2,39.8,0
2015,광주,광산구,,,,294.1,205,64.5,24.6,0
2015,대전,동구,,,,214.9,117.3,40,57.6,0
2015,대전,중구,,,,233.2,156.5,32.1,44.6,0
2015,대전,서구,,,,432.3,276.3,66.8,89.2,0
2015,대전,유성구,,,,280.3,205,48.1,27.2,0
2015,대전,대덕구,,,,195.3,141,37.5,16.8,0
2015,울산,중구,,,,254.8,142.2,94.4,18.2,0
2015,울산,남구,,,,407.4,211.8,176.6,19,0
2015,울산,동구,,,,204.9,119.2,80.5,5.2,0
2015,울산,북구,,,,231,109.6,96.5,24.9,0
2015,울산,울주군,,,,208.6,110.9,94.7,3,0
2015,세종,세종특별자치시,,,,100.3,56.3,35.4,8.6,0
2015,경기,수원시,,,,915.6,456.9,458.7,0,0
2015,경기,성남시,,,,781.8,430.2,347.9,3.7,0
2015,경기,의정부시,,,,341,218.7,121,1.3,0
2015,경기,안양시,,,,377.1,181.4,185.2,10.5,0
2015,경기,부천시,,,,539.5,304.2,214.4,20.9,0
2015,경기,광명시,,,,221.3,105.1,104.1,12.1,0
2015,경기,평택시,,,,400.4,237.1,72.2,91.1,0
2015,경기,동두천시,,,,71.1,41.8,29.3,0,0
2015,경기,안산시,,,,480.2,273.8,137.6,68.8,0
2015,경기,고양시,,,,743.4,460.4,220,63,0
2015,경기,과천시,,,,51.9,11.7,39.1,1.1,0
2015,경기,구리시,,,,127.6,67,54.9,5.7,0
2015,경기,남양주시,,,,342.4,175.6,146.6,20.2,0
2015,경기,오산시,,,,133.9,71.4,52.3,10.2,0
2015,경기,시흥시,,,,251.4,169,18.9,63.5,0
2015,경기,군포시,,,,176.2,82.4,93.8,0,0
2015,경기,의왕시,,,,106.8,64,26.4,16.4,0
2015,경기,하남시,,,,147.6,85.5,62.1,0,0
2015,경기,용인시,,,,825.9,499.9,258.1,67.9,0
2015,경기,파주시,,,,337.1,197.1,135.9,4.1,0
2015,경기,이천시,,,,136.3,80.1,56.2,0,0
2015,경기,안성시,,,,105.4,44.9,42.9,17.6,0
2015,경기,김포시,,,,194.9,93.4,57.4,44.1,0
2015,경기,화성시,,,,340.4,152.6,156.2,31.6,0
2015,경기,광주시,,,,247.5,172.6,74.9,0,0
2015,경기,양주시,,,,115,46.8,68.2,0,0
2015,경기,포천시,,,,154.4,90.4,53.5,10.5,0
2015,경기,여주시,,,,82.9,48,20.4,14.5,0
2015,경기,연천군,,,,43.4,16.2,25.1,2.1,0
2015,경기,가평군,,,,61.8,36,0,25.8,0
2015,경기,양평군,,,,53.9,21.1,28,4.8,0
2015,강원,춘천시,,,,388.5,241.7,127.9,18.9,0
2015,강원,원주시,,,,216.3,157.4,0,58.9,0
2015,강원,강릉시,,,,307.5,216.4,11.9,79.2,0
2015,강원,동해시,,,,124,45.1,0,78.9,0
2015,강원,태백시,,,,58.1,30.7,23.5,3.9,0
2015,강원,속초시,,,,141.3,30.4,67.4,43.5,0
2015,강원,삼척시,,,,97.7,38.4,0,59.3,0
2015,강원,홍천군,,,,46.3,5.4,37.7,3.2,0
2015,강원,횡성군,,,,34.1,14.3,13.4,6.4,0
2015,강원,영월군,,,,29.4,13.7,12.1,3.6,0
2015,강원,평창군,,,,36.8,28.4,6.3,2.1,0
2015,강원,정선군,,,,37.6,15.6,4.1,17.9,0
2015,강원,철원군,,,,56.1,10.8,15.8,29.5,0
2015,강원,화천군,,,,49.1,12.4,13.1,23.6,0
2015,강원,양구군,,,,28.6,17.6,11,0,0
2015,강원,인제군,,,,67.7,28,13,26.7,0
2015,강원,고성군,,,,35.2,6.7,21.5,7,0
2015,강원,양양군,,,,39.4,6,30.1,3.3,0
2015,충북,청주시,,,,907.4,585.2,245.1,77.1,0
2015,충북,충주시,,,,165.4,64.5,76,24.9,0
2015,충북,제천시,,,,111.9,30.4,27.9,53.6,0
2015,충북,보은군,,,,33.7,9.2,17.9,6.6,0
2015,충북,옥천군,,,,43.7,4.3,30.9,8.5,0
2015,충북,영동군,,,,46.1,18.6,25.1,2.4,0
2015,충북,증평군,,,,35.6,15.1,7.3,13.2,0
2015,충북,진천군,,,,55,37.7,15.9,1.4,0
2015,충북,괴산군,,,,33.7,12.8,2.3,18.6,0
2015,충북,음성군,,,,70.9,28,36.8,6.1,0
2015,충북,단양군,,,,37.9,15,14.1,8.8,0
2015,충남,천안시,,,,720.2,423.7,193,103.5,0
2015,충남,공주시,,,,125.5,82.3,42.2,1,0
2015,충남,보령시,,,,97.5,52.7,44.8,0,0
2015,충남,아산시,,,,340.8,223.9,114.6,2.3,0
2015,충남,서산시,,,,154.7,82.7,72,0,0
2015,충남,논산시,,,,157.2,71.8,45.5,39.9,0
2015,충남,계룡시,,,,36.1,15.2,19.9,1,0
2015,충남,당진시,,,,116.5,44.6,66.1,5.8,0
2015,충남,금산군,,,,42.7,15.9,0,26.8,0
2015,충남,부여군,,,,56.9,34.1,0,22.8,0
2015,충남,서천군,,,,36.5,13.3,10.6,12.6,0
2015,충남,청양군,,,,25.4,8,15.1,2.3,0
2015,충남,홍성군,,,,65.4,34.1,29.9,1.4,0
2015,충남,예산군,,,,50,17.1,31.5,1.4,0
2015,충남,태안군,,,,66.8,35,31.8,0,0
2015,전북,전주시,,,,691.1,493.6,159,38.5,0
2015,전북,군산시,,,,247.7,101.4,0,146.3,0
2015,전북,익산시,,,,244.9,126.2,118.7,0,0
2015,전북,정읍시,,,,79.3,30.8,36.4,12.1,0
2015,전북,남원시,,,,63.4,21.2,0,42.2,0
2015,전북,김제시,,,,64.6,40.8,19.6,4.2,0
2015,전북,완주군,,,,49.5,33.9,14.6,1,0
2015,전북,진안군,,,,20.5,5.4,0,15.1,0
2015,전북,무주군,,,,23.4,14.7,0,8.7,0
2015,전북,장수군,,,,23.6,8,0,15.6,0
2015,전북,임실군,,,,15.4,6.1,0,9.3,0
2015,전북,순창군,,,,14.3,5.7,0,8.6,0
2015,전북,고창군,,,,43.7,30.5,0,13.2,0
2015,전북,부안군,,,,37.1,25.6,0,11.5,0
2015,전남,목포시,,,,229.5,76.1,0,153.4,0
2015,전남,여수시,,,,337.5,97.8,76.8,162.9,0
2015,전남,순천시,,,,145.1,140,0,5.1,0
2015,전남,나주시,,,,57.8,33.3,1.6,22.9,0
2015,전남,광양시,,,,192.2,69,0,123.2,0
2015,전남,담양군,,,,34.1,5.2,20.2,8.7,0
2015,전남,곡성군,,,,25.7,14,0,11.7,0
2015,전남,구례군,,,,15.8,15.8,0,0,0
2015,전남,고흥군,,,,62.9,21.3,22.6,19,0
2015,전남,보성군,,,,37.4,21.2,15,1.2,0
2015,전남,화순군,,,,43.2,28.8,1.7,12.7,0
2015,전남,장흥군,,,,30.6,11.3,9.1,10.2,0
2015,전남,강진군,,,,28.8,13.8,8.1,6.9,0
2015,전남,해남군,,,,54.1,39,10.2,4.9,0
2015,전남,영암군,,,,110.5,81.3,29.2,0,0
2015,전남,무안군,,,,70.1,21.2,34.3,14.6,0
2015,전남,함평군,,,,15.8,1.6,9.7,4.5,0
2015,전남,영광군,,,,39.1,2.5,36.2,0.4,0
2015,전남,장성군,,,,24.7,3.5,15,6.2,0
2015,전남,완도군,,,,52,10.5,33,8.5,0
2015,전남,진도군,,,,26.5,8.4,18,0.1,0
2015,전남,신안군,,,,39.8,13.5,21.1,5.2,0
2015,경북,포항시,,,,424.5,184.5,0,240,0
2015,경북,경주시,,,,263.3,152.1,97.9,13.3,0
2015,경북,김천시,,,,83.2,23.2,51.4,8.6,0
2015,경북,안동시,,,,177,81.1,4.5,91.4,0
2015,경북,구미시,,,,340.6,150.1,180.4,10.1,0
2015,경북,영주시,,,,162.1,76.8,0,85.3,0
2015,경북,영천시,,,,71.2,22.5,47.7,1,0
2015,경북,상주시,,,,77.9,23.8,44.5,9.6,0
2015,경북,문경시,,,,104.8,32.8,43.2,28.8,0
2015,경북,경산시,,,,177.1,81.6,58.9,36.6,0
2015,경북,군위군,,,,18.3,3.8,6.4,8.1,0
2015,경북,의성군,,,,34.9,10.4,10.2,14.3,0
2015,경북,청송군,,,,27.1,9.5,14.8,2.8,0
2015,경북,영양군,,,,13.5,2.8,1.2,9.5,0
2015,경북,영덕군,,,,45.2,7.2,27.1,10.9,0
2015,경북,청도군,,,,22,12.9,5.8,3.3,0
2015,경북,고령군,,,,23.7,5.6,16.3,1.8,0
2015,경북,성주군,,,,37.9,18.1,15.2,4.6,0
2015,경북,칠곡군,,,,102.2,13.1,86.5,2.6,0
2015,경북,예천군,,,,22.8,2.8,17.9,2.1,0
2015,경북,봉화군,,,,64.1,30.1,1.3,32.7,0
2015,경북,울진군,,,,56.1,29.5,17.7,8.9,0
2015,경북,울릉군,,,,11.2,0.6,3.4,7.2,0
2015,경남,창원시,,,,1024,536.5,412,75.5,0
2015,경남,진주시,,,,384,229.7,0,154.3,0
2015,경남,통영시,,,,172,54.1,89.1,28.8,0
2015,경남,사천시,,,,159.7,61.2,37.1,61.4,0
2015,경남,김해시,,,,455.3,269.7,161.9,23.7,0
2015,경남,밀양시,,,,76.3,28,40.2,8.1,0
2015,경남,거제시,,,,227.4,119.4,105,3,0
2015,경남,양산시,,,,251.6,140.6,68.7,42.3,0
2015,경남,의령군,,,,25.5,22.8,0.3,2.4,0
2015,경남,함안군,,,,68.9,33.5,34.5,0.9,0
2015,경남,창녕군,,,,49.8,27.4,16.9,5.5,0
2015,경남,고성군,,,,36.5,18.9,16.8,0.8,0
2015,경남,남해군,,,,32.6,23.8,0,8.8,0
2015,경남,하동군,,,,43.6,11.7,10.8,21.1,0
2015,경남,산청군,,,,30,8.6,9.8,11.6,0
2015,경남,함양군,,,,33,7.7,15.2,10.1,0
2015,경남,거창군,,,,78.9,36.3,32.1,10.5,0
2015,경남,합천군,,,,37.4,15.4,11.2,10.8,0
2015,제주,제주시,,,,613,402.2,113.9,96.9,0
2015,제주,서귀포시,,,,300.9,179.5,58.4,63,0
2016,전국,합계,,,,45460.3,26605.8,12389,6465.5,0
